RA_ICRS,DE_ICRS,Gmag
10.90392869135,38.29375593368,14.376431
11.46854542256,38.32915199361,13.938875
11.46723020205,38.34351211437,13.335692
11.55539605152,38.34804349493,11.818904
11.35468696928,38.30562971773,14.981504
11.29830260683,38.30785785493,15.908844
11.29369197426,38.3368457463,15.226126
11.34773466739,38.31727885062,15.573953
11.34420017033,38.3302851896,15.883542
11.33043242242,38.33723590551,15.022643
11.35469571273,38.33406905558,15.446273
11.36705513211,38.34485039682,14.670667
11.35740213101,38.36499608662,15.585079
11.31316963026,38.33344041703,15.71914
11.3031275916,38.35016439546,12.561077
11.32318218296,38.37063444745,13.355735
11.42864364231,38.34590469923,15.84746
11.40586663245,38.3573020074,15.25823
11.44060397896,38.36758669093,13.296932
11.50330244342,38.38843047531,15.518282
11.48340987054,38.39867151768,13.499789
11.49064659798,38.41324746793,15.594557
11.442046425,38.39385874465,12.418886
11.44014614681,38.39818393902,15.577191
11.45186672246,38.40185729152,15.407823
11.45356819562,38.41219631456,15.550882
11.3903328033,38.40406380851,14.183888
11.43230593723,38.48200026889,15.770223
11.08488886976,38.27834994981,15.267346
11.22837889006,38.31466582923,13.860574
11.17979173496,38.29187183878,15.471664
11.12273600979,38.28264459841,15.528476
11.07979985367,38.30240554951,14.835282
11.11718936938,38.30763775224,15.885019
11.12132858657,38.32124622902,15.531291
11.18569751528,38.32807385711,15.618809
11.18745933231,38.36409685372,15.716157
11.16848078224,38.36276405731,14.999359
11.16950756807,38.36761783409,15.203866
11.15673452117,38.38051989954,14.26078
10.96723455794,38.29100698903,14.619822
10.90741755178,38.29320212595,10.218764
11.0206156156,38.35055405457,15.245276
11.0989715737,38.32860385122,14.727878
11.09593063281,38.33860476687,15.945904
11.1249077918,38.3821869508,15.833106
11.14319180336,38.3952489664,15.882134
11.10144821725,38.41090495047,13.722906
11.09553973359,38.4189353973,13.182615
11.1105744984,38.40988464924,15.603539
11.02804318639,38.36319349825,15.097779
11.04310139695,38.36554024354,14.15287
11.06630385424,38.40265270896,13.31466
11.09075982186,38.45606962019,15.4787
11.05069299829,38.43473904854,9.96448
11.07505045354,38.45972330373,13.912522
11.23513204752,38.32109482411,13.399385
11.2208438894,38.3343577308,15.031949
11.25167411615,38.35959377411,15.95802
11.32072258363,38.39206287057,13.007566
11.28262016222,38.40411068263,15.698497
11.2693826276,38.40697308045,15.589371
11.3080900321,38.42420594732,15.868111
11.19519929718,38.36933478011,15.091002
11.21171239646,38.38085175113,9.313817
11.25379860433,38.41693514673,15.6295
11.24943641468,38.43570223198,11.952544
11.2767294141,38.42515055073,15.994319
11.26474232708,38.45935729628,13.633992
11.21927412565,38.4576964573,14.772059
11.25754788336,38.45237789534,14.870336
11.25292204499,38.48235306983,14.528646
11.31725254274,38.43382628939,13.651504
11.39735260726,38.46121574419,13.780312
11.38872185421,38.46459014826,13.193349
11.4207581557,38.49479741942,15.345893
11.40673276592,38.4993029729,15.941508
11.3656207074,38.50584821286,15.590173
11.38388150555,38.51487554292,15.98456
11.37644553305,38.52212925805,15.222198
11.29577753129,38.48242709662,15.569922
11.30517302632,38.49892559825,14.216766
11.28946540539,38.5088254764,14.913353
11.29217685482,38.51562351727,15.857734
11.33626535671,38.5199052523,14.468251
11.33754194146,38.53334807607,14.695833
11.3578125033,38.53904262406,15.949205
11.31415269312,38.54751752823,14.971305
11.34506504756,38.569489102,14.408811
11.33127270874,38.55728808393,14.231344
11.14914069041,38.41418261935,15.460761
11.15427983503,38.4297908399,15.452326
11.19411101262,38.47834969438,12.977104
11.22346621078,38.49372474884,13.718587
11.22039599318,38.50170596506,15.304772
11.20359260563,38.49265589518,12.4199
11.18511269795,38.54442228382,15.750329
11.13521503208,38.52679821186,13.55552
11.12553381298,38.54109112756,12.645015
11.17473319174,38.5557240115,13.17985
11.14058663492,38.56258416682,13.146649
11.26017561705,38.51191304116,14.896505
11.30150519114,38.55561731757,12.43632
11.18702530753,38.56099472322,13.465502
11.18453755687,38.59142829027,11.527915
11.18799124897,38.60869359148,14.097168
11.24982705851,38.61626588159,15.945053
11.27729090908,38.63604377519,15.698323
11.23436775952,38.62906065695,14.676383
11.25995816166,38.65066719651,15.362638
11.23507438257,38.6610302444,15.644747
12.7533716655,38.75902316877,13.065717
12.80898147025,38.74702438163,15.766734
12.81426523867,38.75186563901,15.775826
12.83727856169,38.77006642016,14.998734
12.89099032102,38.78389069165,15.682101
12.85758363048,38.7731289842,11.879579
12.85415626312,38.7940233514,15.873206
12.87928377084,38.78998325009,14.858546
12.78232015936,38.73991484669,13.835751
12.79585930558,38.76921895052,13.397677
12.80400333084,38.7805806825,13.273921
