Source,RA_ICRS,DE_ICRS,Gmag
3016831105121038464,83.16512702522,-6.1477069171,20.232357
3016951849536684800,83.96234198993,-6.3787987435,15.479854
3016951982680530688,83.90507003377,-6.38112620998,20.860037
3016951982680530944,83.91352164759,-6.3800390869,20.166845
3016952021333862528,83.93630124153,-6.37592645602,20.966589
3016952090054853888,83.9209601597,-6.37927417484,13.633488
3016952090053339904,83.92885154762,-6.37581732876,20.385593
3016952090054853760,83.93074913385,-6.37211150562,16.320498
3016952124414592000,83.92851625909,-6.36240675503,15.474374
3016953120847162240,84.07700127723,-6.34409624975,14.507373
3016953253990752768,83.98276882049,-6.37632520204,19.171408
3016953292645695872,83.99289019247,-6.36990993528,17.767403
3016953327005434496,83.96232342346,-6.37502965709,18.420715
3016953460149183232,83.98848044783,-6.35865379164,19.67968
3016953528868758272,83.96047985482,-6.3689250304,20.954601
3016953528868659840,83.9550085538,-6.36891870147,20.262745
3016953601883341312,83.94853999913,-6.36003109721,15.854313
3016953735026770816,83.97339713724,-6.33208265476,18.12503
3016953769386828928,83.97837917847,-6.32502050905,19.24322
3016953803745929600,84.0175595134,-6.34557922494,10.385963
3016953911120986240,84.02517776443,-6.32743983755,9.821937
3016953945480766464,84.04349628323,-6.3337577631,13.657702
3016954014200201088,84.04249415656,-6.31524375264,17.703123
3016954014198680064,84.02890251994,-6.31482679005,15.133082
3016954044264835072,84.0461503184,-6.31347988444,20.733982
3016954048559939328,84.03955542604,-6.31009735015,14.296535
3016954044264834944,84.03477908354,-6.30721357126,20.742134
3016954044264421504,84.04632661379,-6.30390228558,18.327827
3016954082918160896,83.99312090089,-6.32554676597,20.481249
3016954147344252160,83.99022039723,-6.31405540921,21.000275
3016954319142330368,84.02604594435,-6.29515676622,19.017918
3016975214158802944,84.32945792926,-6.24690906874,15.76045
3016975454676977152,84.25695598331,-6.27954351438,17.567524
3016975489036714752,84.26653207813,-6.27793040305,16.206709
3016975519101325056,84.21999272338,-6.28361950927,20.621136
3016975828338555264,84.30016743404,-6.2657892436,18.188183
3016975866993835776,84.2743604597,-6.26771830126,17.859821
3016975931417139328,84.31029637117,-6.25577706301,18.074986
3016975931418500224,84.31118746621,-6.2555891417,19.021181
3016975935713310080,84.30299637741,-6.25003403895,16.719364
3016975965777107072,84.31670500956,-6.24750889165,19.911457
3016976000137248640,84.29996637893,-6.24184461776,18.736347
3016976004433139328,84.28827167937,-6.24090237573,18.448566
3016976000137249152,84.2957315756,-6.23908597065,18.537174
3016976034497715072,84.31103501292,-6.23899774866,20.28357
3016976068856724736,84.27311871716,-6.25114381882,18.560051
3016976103216464384,84.2789913705,-6.2360500726,19.367155
3016976210590743168,84.292165849,-6.23437005646,21.047525
3016976240656137472,84.3013523754,-6.22210151398,20.544601
3016976279310693632,84.27906451386,-6.22669685049,16.38786
3016976279309282176,84.27986173718,-6.2253684284,20.86601
3016976279310694016,84.2689295914,-6.22256094446,18.35639
3016976485469132288,84.14089031875,-6.32413658522,16.776667
3016976481173991936,84.13616686777,-6.3228962852,18.83392
3016976485469132800,84.13492885069,-6.32216870901,12.93011
3016976622908088064,84.09691603247,-6.32708975304,16.080956
3016976794705405952,84.11725910052,-6.29376670992,19.604172
3016976829066867584,84.10651280266,-6.29404178833,20.698826
3016976829066516096,84.1041420267,-6.2923651653,11.146353
3016976829066516224,84.1033347982,-6.29182464228,13.452733
3016976962209915392,84.14758036806,-6.2934524131,17.612936
3016977035223562496,84.17987729184,-6.28254052029,18.939043
3016977305807304576,84.15622914192,-6.26879598161,18.202538
3016977344462589312,84.16665876738,-6.26805116728,18.321417
3016977374527087872,84.13871484889,-6.25668751846,19.757336
3016977481901546624,84.08033507388,-6.29850230221,19.79736
3016977511965983744,84.05704062785,-6.30070697528,20.450926
3016977550620982656,84.0651174272,-6.29416277462,14.902819
3016977546325141376,84.06281184214,-6.29358569725,13.30745
3016977550619459072,84.071845435,-6.29011804834,16.253437
3016977584981112192,84.08790826436,-6.28815359148,16.45284
3016977722419674752,84.03898436906,-6.28633672694,14.738718
3016977722419674624,84.04714739766,-6.2821929983,17.630686
3016977962937842816,84.06601603198,-6.24742752952,15.714374
3016978031657358080,84.12245027304,-6.26225304357,16.296904
3016978130441332096,84.13394678376,-6.24610445775,20.073885
3016978169096309504,84.15229678554,-6.24032225254,15.762062
3016978199160772096,84.11529673511,-6.24458404074,19.093006
3016978199160504576,84.12421920451,-6.23880186831,17.2587
3016978340894964736,84.07744589674,-6.2414626843,17.659388
3016978615772908160,84.18727059788,-6.26794471039,17.243938
3016978615772908032,84.18246669616,-6.25796668793,16.25074
3016978615771523840,84.18229521962,-6.25779639921,17.572672
3016978817635793920,84.17333832632,-6.25527079504,18.380459
3016978989434791680,84.20796247524,-6.226908858,20.08845
3016979126873708672,84.25692283992,-6.22738738471,21.008717
3016979161233446912,84.23326180809,-6.23096323687,20.7487
3016979195593599872,84.24205387354,-6.21855627017,20.600088
3016979195592919424,84.24415434249,-6.20517532405,20.299984
3016979229952657280,84.25719361126,-6.21337697095,18.665323
3016979234248193152,84.26521969009,-6.21057803048,17.517317
3016979229952924416,84.26103359901,-6.20848054881,19.955883
3016979302966260480,84.24745455073,-6.20119501806,20.352148
3016979298672818176,84.24807063844,-6.20011499491,20.63236
3016979298672134912,84.25494684585,-6.19825206942,20.069569
3016979298672823296,84.25544537219,-6.19767326622,19.556927
3016979333032140032,84.26627748012,-6.19972175973,19.651833
3016979333031873024,84.26425960762,-6.19843078941,18.663439
3016979333032140288,84.26333996769,-6.19677636477,20.030523
3016979333032140544,84.2644902389,-6.19321452662,19.27989
3016979406045478784,84.24034453575,-6.20408970998,19.743137
3016979509126099968,84.24988853225,-6.19590604346,16.349953
3016979573550455680,84.2315765583,-6.19123676437,20.736336
3016979607910082560,84.24749253549,-6.17099219573,20.3789
3016979680924797056,84.16834644618,-6.225925792,14.594933
3016979887083226240,84.17367376609,-6.19624653648,16.638903
3016979921442929536,84.13697506976,-6.21040844821,14.595959
3016980058881918592,84.1599115073,-6.19768021956,14.016568
3016980093241655936,84.16984623405,-6.18563340746,16.269218
3016980230680607488,84.21209532677,-6.18199477918,17.960136
3016980333759240960,84.21502882811,-6.17543147641,21.036272
3016980363824027264,84.23056108636,-6.16874667484,19.69099
3016980363824027136,84.22730597508,-6.1697932255,18.868563
3016980368119558528,84.22539564311,-6.16726737991,17.341997
3016980432543505024,84.22807132646,-6.16084743747,18.812653
3016980471198743296,84.1691365207,-6.17589946461,16.923546
3016980471198743168,84.17687212892,-6.17334968823,17.115648
3016980466903241984,84.17845018512,-6.1719286904,18.856232
3016980505556953856,84.18636321835,-6.16186975794,19.70397
3016980711716911616,84.19795592717,-6.14581947315,
3016980711716911488,84.19810148841,-6.13897922995,15.658488
3016980707421821056,84.19257074184,-6.13652773926,20.521944
3016981257176598144,84.37513510332,-6.20962012818,19.401995
3016981566414517888,84.39147188012,-6.21265508672,19.897226
3016981635135127040,84.38774716204,-6.205523975,20.786543
3016981703853472000,84.41093878584,-6.19497874079,19.944605
3016981738213158784,84.42732429976,-6.18478981188,19.803236
3016981772572897280,84.40338503832,-6.18181360276,20.722767
3016981811228557184,84.42462574695,-6.17860897919,17.911642
3016981811227094912,84.42092447841,-6.17145034696,20.316408
3016981841292145152,84.33910519097,-6.23441995523,19.824146
3016981910011622912,84.32137055626,-6.22974357903,19.337006
3016981910011624064,84.32383251065,-6.22171440255,20.982182
3016981948667520128,84.32297852559,-6.21335755485,15.454864
3016981983027595520,84.35459645777,-6.21095638755,20.301508
3016982013092228096,84.36447284715,-6.20830515605,20.498402
3016982017385548672,84.36014616411,-6.20686547471,19.949667
3016982013091880320,84.35904178497,-6.19988888591,20.536982
3016982013090843904,84.36254288712,-6.19838612883,20.244656
3016982047450802176,84.33990217929,-6.20453942719,19.74406
3016982086106469760,84.35209428137,-6.2002379963,17.849525
3016982116170055424,84.31049132985,-6.21935062452,20.01925
3016982120466214016,84.30235860207,-6.21567933229,15.782263
3016982150529797248,84.32164080644,-6.19965821213,19.090504
3016982184889534848,84.30591827296,-6.20264805959,19.173487
3016982287968754432,84.33854703294,-6.18029090723,18.0295
3016982326623197696,84.32428542081,-6.18914780259,20.148705
3016982322328492928,84.32247665867,-6.17906063257,18.098475
3016982395342666240,84.37384237583,-6.19591666975,19.918388
3016982528486924032,84.40063292831,-6.17680864518,19.877344
3016982528486924544,84.39490322871,-6.1738193483,19.200909
3016982597206618752,84.37856897823,-6.16691529007,21.055696
3016982631566143104,84.3934881527,-6.15661283443,17.971577
3016982734646385792,84.33827938389,-6.16081602012,20.441952
3016982803364835328,84.36941180888,-6.15559045816,19.738403
3016982803364835072,84.37429991151,-6.15659744103,18.305061
3016982837724839040,84.38228719501,-6.14867466772,20.603182
3016982872084312704,84.35903004213,-6.15201351739,19.697601
3016982872085691776,84.3660310433,-6.14269926039,20.641945
3016982910740185728,84.36914761843,-6.14093685315,15.337126
3016983215681692032,84.43923643418,-6.17394015322,18.600197
3016983250041432064,84.45373564382,-6.16525997347,18.858719
3016983323057042048,84.4515036024,-6.15739714116,16.539553
3016983318760910720,84.44242546813,-6.15606644697,20.356783
3016983421840126720,84.44844555529,-6.15226301266,17.800257
3016983456199866624,84.46154688848,-6.14313363842,18.83871
3016983460495993472,84.4640651997,-6.13688909267,15.748706
