#Table1
class,z,dered_r
GALAXY,0.06236521,
GALAXY,0.07045922,17.43799
GALAXY,0.1697427,16.24787
GALAXY,0.07342248,16.14675
GALAXY,0.07287358,16.92185
QSO,1.585598,18.88611
GALAXY,0.13804,17.46878
GALAXY,0.04624894,15.10818
GALAXY,0.1376319,16.95043
GALAXY,0.1705594,17.14813
GALAXY,0.03283368,17.18446
GALAXY,0.006497472,17.69074
GALAXY,0.08473924,16.4812
GALAXY,0.1262092,17.08912
GALAXY,0.1060983,17.73799
GALAXY,0.1659723,16.63017
GALAXY,0.1075663,17.06725
GALAXY,0.09104228,16.6821
GALAXY,0.09330761,16.85381
QSO,0.269597,19.25141
GALAXY,0.09300902,17.11757
GALAXY,0.08505789,17.11962
GALAXY,0.1678794,17.68006
GALAXY,0.1681964,17.34666
GALAXY,0.08496389,17.0883
GALAXY,0.08504127,17.44831
GALAXY,0.08459932,16.47511
GALAXY,0.06146668,17.02144
GALAXY,0.08867424,16.84649
GALAXY,0.08773529,17.43884
GALAXY,0.0876554,15.6064
GALAXY,0.08721134,16.4623
GALAXY,0.08771932,16.00443
GALAXY,0.03294319,15.41389
GALAXY,0.07309938,17.42136
GALAXY,0.03540421,16.52715
GALAXY,0.08343904,17.31543
GALAXY,0.08727632,17.53507
GALAXY,0.08184298,16.51847
GALAXY,0.08852571,15.84525
GALAXY,0.09004407,16.0695
GALAXY,0.08105936,17.5414
QSO,0.595322,17.0047
GALAXY,0.08888451,16.6624
GALAXY,0.08794172,16.43738
QSO,3.769995,19.34489
GALAXY,0.08771387,17.18294
GALAXY,0.1685464,16.90306
GALAXY,0.1095487,17.55145
GALAXY,0.08443944,17.78763
GALAXY,0.1082038,16.08783
GALAXY,0.1085674,17.2396
GALAXY,0.1076635,17.23507
GALAXY,0.108615,17.7071
GALAXY,0.1058639,17.13836
GALAXY,0.1057043,16.75086
QSO,0.6228586,
GALAXY,0.06298586,
GALAXY,0.03175354,17.39025
GALAXY,0.06262695,15.16158
GALAXY,0.08471707,17.32983
GALAXY,0.06583685,17.81081
GALAXY,0.1380402,17.02799
GALAXY,0.1645773,17.4814
GALAXY,0.1065858,17.54273
GALAXY,0.09047463,16.15177
QSO,0.918184,19.06072
GALAXY,0.1377121,17.43658
GALAXY,0.1374652,17.40059
GALAXY,0.1248814,16.73943
GALAXY,0.07429044,17.87549
GALAXY,0.08647252,17.32147
GALAXY,0.08909202,16.54988
GALAXY,0.08885787,16.31598
GALAXY,0.08841926,16.61955
GALAXY,0.06948269,17.17689
GALAXY,0.08693989,16.94818
GALAXY,0.1254437,15.87004
GALAXY,0.1391594,17.32115
GALAXY,0.08812667,17.53343
GALAXY,0.08768653,16.39015
GALAXY,0.137292,17.2211
GALAXY,0.06983577,16.65632
GALAXY,0.08886553,17.7157
GALAXY,0.08808289,17.5873
GALAXY,0.02067165,17.48181
GALAXY,0.1373351,16.82928
GALAXY,0.08371435,17.70896
GALAXY,0.08863734,17.50494
GALAXY,0.108053,17.29728
GALAXY,0.1618853,17.35175
GALAXY,0.03738691,16.55757
GALAXY,0.04852381,17.5727
GALAXY,0.3256443,18.95314
GALAXY,0.1100083,16.63924
GALAXY,0.1069756,16.30758
GALAXY,0.4198091,19.03827
QSO,0.8338097,
QSO,0.6575148,-9999
GALAXY,0.1642807,16.98833
GALAXY,0.0921103,17.54809
GALAXY,0.06502754,15.17367
GALAXY,0.06491762,15.3721
GALAXY,0.08461425,17.30152
GALAXY,0.08561133,16.26252
GALAXY,0.07937673,16.68193
GALAXY,0.03541203,17.14413
GALAXY,0.08336419,16.20905
GALAXY,0.08697634,16.97853
GALAXY,0.1647106,17.29401
GALAXY,0.08323718,17.08176
QSO,0.740679,18.61226
GALAXY,0.06881656,16.7412
GALAXY,0.08371498,16.08847
GALAXY,0.1495905,19.08135
GALAXY,0.421273,17.36971
GALAXY,0.06167085,15.38457
GALAXY,0.3799065,18.46048
GALAXY,0.1319097,17.2764
GALAXY,0.1266301,17.60329
QSO,0.3402214,19.90458
GALAXY,0.0634988,18.50051
GALAXY,0.06359012,15.53142
GALAXY,0.4536749,18.66325
GALAXY,0.01657376,16.41557
GALAXY,0.06193933,17.17838
QSO,0.6705492,
GALAXY,0.0972679,17.49468
GALAXY,0.1109342,17.3803
GALAXY,0.3627468,19.01498
GALAXY,0.01258756,17.69864
GALAXY,0.3568458,18.84724
GALAXY,0.08773474,15.58254
QSO,2.604489,19.27494
GALAXY,0.06137475,15.56248
GALAXY,0.09146604,16.85005
GALAXY,0.09604198,17.50729
GALAXY,0.04619598,15.43511
GALAXY,0.05736349,17.93879
GALAXY,0.5443595,18.79692
GALAXY,0.1647461,17.35244
GALAXY,0.08472607,16.49138
GALAXY,0.09177374,15.85429
GALAXY,0.08136201,16.61284
GALAXY,0.09344584,16.07792
GALAXY,0.09413693,17.04482
GALAXY,0.07758574,17.36946
GALAXY,0.09341974,16.70345
GALAXY,0.2360831,17.48885
GALAXY,0.1090729,16.41662
GALAXY,0.06207497,17.0518
GALAXY,0.3079552,18.91486
GALAXY,0.1094295,17.15272
GALAXY,0.08058519,17.07749
GALAXY,0.06251667,16.8235
GALAXY,0.0465229,16.46099
GALAXY,0.3208237,18.64457
GALAXY,0.06295218,16.89221
GALAXY,0.1098269,17.75517
GALAXY,0.06671763,16.3507
GALAXY,0.09211832,16.38797
GALAXY,0.06313949,16.35117
GALAXY,0.1092338,17.08824
GALAXY,0.06284358,15.60904
GALAXY,0.3220284,18.46082
GALAXY,0.04636251,17.08664
GALAXY,0.04681011,17.4797
GALAXY,0.2061687,17.61538
GALAXY,0.03412346,15.99608
GALAXY,0.08910091,17.29314
GALAXY,0.03463108,17.22584
GALAXY,0.04617104,16.50143
GALAXY,0.06572735,17.32187
GALAXY,0.1681609,16.93534
GALAXY,0.1252793,16.2932
GALAXY,0.03467486,17.17413
GALAXY,0.09600016,16.29027
GALAXY,0.3076873,18.05844
GALAXY,0.0650453,14.68399
QSO,0.1325828,
GALAXY,0.08003111,15.44201
GALAXY,0.04720632,15.44668
GALAXY,0.1090213,17.4978
GALAXY,0.04646964,16.73527
GALAXY,0.215447,17.88496
GALAXY,0.2283176,18.27705
GALAXY,0.06481871,16.77798
GALAXY,0.08606229,17.87605
GALAXY,0.06319394,16.92846
GALAXY,0.03853054,17.17406
GALAXY,0.06226544,14.79991
GALAXY,0.06655637,17.13755
GALAXY,0.04704995,15.95541
GALAXY,0.08696617,17.7307
GALAXY,0.06268962,15.59243
GALAXY,0.1735455,17.21228
GALAXY,0.06318191,17.5339
GALAXY,0.1257449,17.10421
GALAXY,0.06605762,17.0032
GALAXY,0.06260738,16.97174
GALAXY,0.06356111,15.95146
GALAXY,0.2807992,18.10481
GALAXY,0.0865969,17.24621
GALAXY,0.08058001,16.87638
GALAXY,0.08670224,15.55508
GALAXY,0.8580068,
GALAXY,0.1733621,17.42183
GALAXY,0.08633437,16.94768
GALAXY,0.1255851,16.90976
QSO,0.1699317,17.35088
GALAXY,0.08162058,17.28208
GALAXY,0.1369716,16.57933
GALAXY,0.08850689,16.87329
GALAXY,0.08192272,17.50356
GALAXY,0.3173598,
GALAXY,0.06538612,16.96883
GALAXY,0.06528676,17.05918
GALAXY,0.08312663,17.37119
GALAXY,0.0849936,17.64297
GALAXY,0.08737121,16.37772
GALAXY,0.0651919,17.34519
GALAXY,0.06574579,16.70988
GALAXY,0.08284637,17.62785
GALAXY,0.09211791,16.7715
GALAXY,0.06277732,16.26488
GALAXY,0.06601022,17.25208
GALAXY,0.08074103,16.31947
GALAXY,0.08236951,17.17909
GALAXY,0.1645564,17.38797
QSO,0.8535784,
GALAXY,0.02801047,16.56659
GALAXY,0.1987801,17.43615
GALAXY,0.08662774,16.94041
GALAXY,0.06204112,15.94667
GALAXY,0.1838783,16.71272
GALAXY,0.09729816,15.56243
GALAXY,0.06422623,17.41766
GALAXY,0.1252315,16.42977
QSO,0.5045837,19.23681
GALAXY,0.309481,18.44134
GALAXY,0.1259033,17.2736
GALAXY,0.5186239,20.08547
GALAXY,0.1250283,17.67376
GALAXY,0.08112247,17.23449
GALAXY,0.2185445,17.16791
GALAXY,0.06171405,17.61365
GALAXY,0.08695569,15.21637
GALAXY,0.0814579,16.00983
GALAXY,0.08138505,17.41058
GALAXY,0.04669769,16.96932
GALAXY,0.09232026,17.61727
GALAXY,0.04660738,17.01395
GALAXY,0.0387163,17.15848
GALAXY,0.04639048,16.02151
GALAXY,0.08699062,16.62336
GALAXY,0.04589036,15.25329
GALAXY,0.06499501,16.66476
GALAXY,0.08085039,16.62856
GALAXY,0.1694297,17.0223
GALAXY,0.1686911,17.51963
GALAXY,0.03502265,15.72821
GALAXY,0.08252737,17.50796
QSO,0.8084229,
GALAXY,0.1601704,17.22237
GALAXY,0.08190168,17.33886
GALAXY,0.09034477,16.16081
GALAXY,0.1692473,17.0827
GALAXY,0.04577184,16.51774
QSO,0.835509,
GALAXY,0.07743941,17.54351
GALAXY,0.09259247,17.16911
GALAXY,0.200706,17.90644
GALAXY,0.06482466,15.5819
GALAXY,0.08054834,16.07205
GALAXY,0.04730976,16.60399
GALAXY,0.0928099,16.09661
GALAXY,0.1932946,17.59389
GALAXY,0.311795,18.06859
GALAXY,0.05647835,15.45615
GALAXY,0.2027204,17.51444
GALAXY,0.09200749,16.95554
GALAXY,0.2000929,17.44346
GALAXY,0.1400012,17.56688
GALAXY,0.1688163,16.99607
GALAXY,0.08714681,17.48565
GALAXY,0.1597646,17.57344
QSO,0.06550524,14.70584
GALAXY,0.04483392,15.02764
GALAXY,0.08765419,17.70064
GALAXY,0.1246748,17.90788
GALAXY,0.09149828,17.00888
GALAXY,0.09246444,16.68786
GALAXY,0.06515549,17.05858
GALAXY,0.171811,17.19118
GALAXY,0.0621501,17.05265
GALAXY,0.172407,17.65107
GALAXY,0.06493151,
GALAXY,0.03265744,17.10266
GALAXY,0.09411001,17.49052
QSO,0.36441,
GALAXY,0.168829,17.60701
GALAXY,0.1696523,17.65976
GALAXY,0.1420566,17.62448
GALAXY,0.07991444,16.46446
GALAXY,0.1064372,16.17668
GALAXY,0.08171165,17.36071
GALAXY,0.08176042,15.95557
GALAXY,0.08111624,17.0787
GALAXY,0.05667516,15.82348
GALAXY,0.08174226,17.28818
QSO,0.2347056,18.56366
GALAXY,0.3618697,18.6681
GALAXY,0.0126812,15.9917
GALAXY,0.07880772,16.81418
GALAXY,0.08026182,17.36754
GALAXY,0.07989653,17.39761
GALAXY,0.06359739,16.70552
GALAXY,0.07933756,15.34789
GALAXY,0.03902926,16.53027
GALAXY,0.08136354,15.49392
GALAXY,0.03337267,14.05213
GALAXY,0.03290574,-9999
GALAXY,0.03323909,17.01654
GALAXY,0.2167213,17.70222
GALAXY,0.09305055,17.40567
GALAXY,0.08826268,16.54001
GALAXY,0.03252227,14.5203
GALAXY,0.03316718,14.39021
GALAXY,0.08743683,
GALAXY,0.1068543,16.77623
GALAXY,0.1338845,17.2961
GALAXY,0.04675085,17.01532
GALAXY,0.1916706,17.40478
GALAXY,0.04612698,16.24327
GALAXY,0.2194346,17.81549
GALAXY,0.140525,17.49714
QSO,1.517043,
GALAXY,0.2207649,17.15377
GALAXY,0.0463249,17.13463
GALAXY,0.0964235,17.42808
GALAXY,0.07830796,16.84032
GALAXY,0.1239753,16.03457
GALAXY,0.2193648,16.96886
GALAXY,0.3632078,18.68986
GALAXY,0.08773066,17.1917
GALAXY,0.08157198,17.10406
GALAXY,0.5355588,
GALAXY,0.07980989,17.40903
GALAXY,0.08800191,17.56102
GALAXY,0.08723865,16.93391
GALAXY,0.08172133,16.79091
GALAXY,0.09842306,16.342
GALAXY,0.07850531,16.93247
GALAXY,0.08254219,16.21172
GALAXY,0.08712019,15.79349
GALAXY,0.4461911,18.36
GALAXY,0.3600248,18.43574
GALAXY,0.09665812,17.68582
GALAXY,0.0450113,15.6526
GALAXY,0.06573609,17.60762
GALAXY,0.06523123,16.95964
GALAXY,0.1710902,17.02812
GALAXY,0.04001235,16.68685
GALAXY,0.04627055,16.94511
GALAXY,0.09283816,16.72338
QSO,0.7417179,19.0738
GALAXY,0.03422084,16.62949
GALAXY,0.03264382,13.53901
GALAXY,0.1701912,16.84414
GALAXY,0.04573169,17.32023
GALAXY,0.1046337,17.02012
GALAXY,0.09174398,16.31128
GALAXY,0.03448851,14.69762
GALAXY,0.09218107,17.07592
GALAXY,0.09253942,17.19974
GALAXY,0.09331501,16.88884
QSO,2.154366,
GALAXY,0.0939457,16.86031
GALAXY,0.03252251,16.60555
GALAXY,0.4816039,19.39606
GALAXY,0.08041868,16.91218
QSO,1.059423,18.24129
GALAXY,0.09363134,17.61545
GALAXY,0.3555436,18.42554
GALAXY,0.08107227,17.18563
GALAXY,0.09773985,17.00004
GALAXY,0.03182067,15.93629
GALAXY,0.06198409,17.14798
GALAXY,0.3545946,18.72935
GALAXY,0.134562,17.5238
GALAXY,0.04647528,16.29407
QSO,2.09396,
GALAXY,0.09769482,16.52909
GALAXY,0.03256777,16.68102
GALAXY,0.03228859,15.05289
GALAXY,0.08730347,17.57411
GALAXY,0.2151756,17.4199
GALAXY,0.0332075,16.28713
GALAXY,0.09366594,
GALAXY,0.2315607,17.71666
GALAXY,0.06608251,17.24796
GALAXY,0.09836945,17.58943
GALAXY,0.09794935,17.53627
GALAXY,0.3541239,18.47831
GALAXY,0.0324094,16.56213
GALAXY,0.04577734,17.64094
GALAXY,0.03367543,15.32689
GALAXY,0.1327162,17.42244
GALAXY,0.03218562,16.16473
GALAXY,0.04574162,17.18339
GALAXY,0.04581254,15.80457
GALAXY,0.06608569,16.76368
GALAXY,0.06621388,17.47779
QSO,2.157523,
GALAXY,0.09205124,17.26523
GALAXY,0,17.37684
GALAXY,0.1883102,-9999
GALAXY,0,17.61083
GALAXY,0.04359543,17.53817
GALAXY,0,17.17262
GALAXY,0.04389971,15.42704
GALAXY,0.0437604,15.52246
GALAXY,0.2094322,17.62156
GALAXY,0.08550981,17.46395
GALAXY,0.1165958,17.39654
GALAXY,0.3748215,18.77117
QSO,1.028236,
GALAXY,0.1907415,
GALAXY,0.1837773,17.55332
GALAXY,0.04388665,15.42704
GALAXY,0.1931723,17.31744
GALAXY,0.1838037,17.55332
GALAXY,0.1164644,17.39654
GALAXY,0.09554061,17.3489
GALAXY,0.1969938,17.17262
GALAXY,0.04336923,16.67806
GALAXY,0.0955369,17.3489
GALAXY,0.08555638,17.46395
GALAXY,0.1906504,
GALAXY,0.1882348,-9999
GALAXY,0.4584807,19.21603
GALAXY,0.1931634,17.31744
GALAXY,0.04341146,16.67806
GALAXY,0.0435754,17.53817
GALAXY,0.2087052,17.37684
GALAXY,0.3744535,18.77117
GALAXY,0.2090795,17.62156
GALAXY,0.04585976,16.7507
GALAXY,0.04583225,16.7507
GALAXY,0.0004425107,17.49499
GALAXY,0.04379782,15.52246
GALAXY,0.155248,17.61083
GALAXY,0.06935427,16.01614
GALAXY,0.06925703,16.01614
GALAXY,0.04619696,14.71765
GALAXY,0.0898695,17.33587
GALAXY,0.09621628,17.23455
GALAXY,0.06830182,17.36568
GALAXY,0.06831297,17.36568
GALAXY,0.2211971,17.02829
QSO,2.551848,19.42509
GALAXY,0.09487154,16.90899
QSO,1.630367,18.80796
GALAXY,0.04611932,14.71765
GALAXY,0.08844595,16.98826
GALAXY,0.08843454,16.98826
GALAXY,0.2211389,17.02829
GALAXY,0.09510874,17.00019
QSO,1.473168,19.01396
GALAXY,0.08759098,16.78618
GALAXY,0.03331847,
QSO,1.629847,18.80796
GALAXY,0.09560441,17.06381
QSO,2.549741,19.42509
GALAXY,0.1630929,17.21021
GALAXY,0.06765883,16.06161
GALAXY,0.09571188,17.65675
GALAXY,0.09573063,17.65675
GALAXY,0.1174884,
QSO,1.472574,19.01396
GALAXY,0.1847674,17.26791
GALAXY,0.03334356,
GALAXY,0.08760308,16.78618
GALAXY,0.09613377,17.23455
GALAXY,0.08992233,17.33587
GALAXY,0.184905,17.26791
GALAXY,0.09519614,17.00019
GALAXY,0.7459298,
GALAXY,0.06763804,16.06161
GALAXY,0.1630619,17.21021
GALAXY,0.0949361,16.90899
GALAXY,0.09566018,17.06381
GALAXY,0.1822933,17.34918
QSO,1.462372,18.46287
QSO,1.464421,18.46287
GALAXY,0.09571221,17.51293
QSO,1.381902,
GALAXY,0.04635897,15.48736
GALAXY,0.03222109,16.78128
GALAXY,0.08437029,17.77983
GALAXY,0.4599591,19.26846
GALAXY,0.04633629,15.48736
GALAXY,0.08455484,17.08047
GALAXY,0.09572472,17.51293
GALAXY,0.1822214,17.34918
GALAXY,0.2056542,17.13067
GALAXY,0.08583643,16.40972
GALAXY,0.1803536,17.44417
GALAXY,0.0452119,17.53937
GALAXY,0.08453064,17.08047
GALAXY,0.4198143,18.30713
GALAXY,0.7420122,19.26846
GALAXY,0.08441795,17.77983
GALAXY,0.03225636,16.78128
GALAXY,0.04517603,17.53937
GALAXY,0.08592195,16.40972
GALAXY,0.1806679,17.44417
QSO,1.711385,18.86528
GALAXY,0.2057139,17.13067
GALAXY,0.4199035,18.30713
QSO,1.709406,18.86528
GALAXY,0.09463353,17.20862
GALAXY,0.137608,17.30146
GALAXY,0.09620965,17.70862
GALAXY,0.8895279,20.36628
GALAXY,0.08816696,16.28279
GALAXY,0.09594652,17.4688
GALAXY,0.8773758,20.36628
GALAXY,0.09494463,15.83835
GALAXY,0.09546118,17.60718
GALAXY,0.09424894,17.31222
GALAXY,0.09357183,17.3322
GALAXY,0.0668576,16.38034
GALAXY,0.1851041,18.32089
GALAXY,0.02166339,17.39021
GALAXY,0.09608197,17.4688
GALAXY,0.1850447,18.32089
GALAXY,0.09499974,15.83835
GALAXY,0.08825807,17.36061
GALAXY,0.1376643,17.30146
GALAXY,0.09524325,17.60718
GALAXY,0.09429494,17.31222
GALAXY,0.09460266,17.20862
GALAXY,0.9193647,
GALAXY,0.09623855,17.70862
GALAXY,0.06681698,16.38034
GALAXY,0.1542214,17.70628
GALAXY,0.1910443,17.74383
GALAXY,0.09362166,17.3322
GALAXY,0.1891803,16.91296
GALAXY,0.1908706,17.74383
GALAXY,0.04645472,16.06901
GALAXY,0.0881547,16.28279
GALAXY,0.08819547,17.36061
GALAXY,0.4660279,19.56367
GALAXY,0.1542358,17.70628
GALAXY,0.1890451,16.91296
GALAXY,0.4658678,19.56367
GALAXY,0.04651895,16.06901
GALAXY,0.02168448,17.39021
GALAXY,0.4539587,
GALAXY,0.1794598,
GALAXY,0.06609736,15.9833
GALAXY,0.06606488,15.9833
GALAXY,0.08467453,16.91342
GALAXY,0.06537174,15.88583
GALAXY,0.1795951,
GALAXY,0.207305,17.25047
GALAXY,0.3007499,18.316
GALAXY,0.09507267,17.29114
GALAXY,0.08550608,16.93192
QSO,1.636473,18.11496
GALAXY,0.2998835,18.56701
QSO,2.11091,18.16772
GALAXY,0.3027745,18.03735
GALAXY,0.08390897,17.24944
GALAXY,0.04228764,14.86144
QSO,1.636068,18.11496
GALAXY,0.08476962,16.98495
GALAXY,0.04227561,14.86144
GALAXY,0.08386379,17.24944
GALAXY,0.2073914,17.25047
GALAXY,0.08472031,16.91342
GALAXY,0.2999851,18.56701
GALAXY,0.3712578,19.02672
GALAXY,0.06563459,16.2579
GALAXY,0.3007461,18.316
GALAXY,0.3703144,19.02672
GALAXY,0.0655496,16.2579
GALAXY,0.4275367,
GALAXY,0.06534052,15.88583
GALAXY,0.3030425,18.03735
QSO,2.109487,18.16772
GALAXY,0.0950892,17.29114
GALAXY,0.08551079,16.93192
GALAXY,0.08477004,16.98495
GALAXY,0.2111639,17.74355
QSO,0.187017,18.4999
GALAXY,0.08452596,16.3369
GALAXY,0.04634656,15.91904
GALAXY,0.1842414,17.79091
GALAXY,0.04464796,16.38181
GALAXY,0.1008742,17.57408
GALAXY,0.1115125,17.6355
GALAXY,0.1841305,17.79091
GALAXY,0.1632703,17.38947
GALAXY,0.1115304,17.6355
GALAXY,0.06953009,17.52858
GALAXY,0.09585693,17.25865
QSO,6.484087,
GALAXY,0.1009588,17.57408
GALAXY,0.04464067,16.38181
GALAXY,0.1632294,17.38947
GALAXY,0.04643209,15.91904
GALAXY,0.06943934,17.52858
GALAXY,0.2179834,17.82622
GALAXY,0.1225655,17.32759
GALAXY,0.06805611,18.27581
GALAXY,0.2180074,17.82622
GALAXY,0.04629213,17.57074
GALAXY,0.2110449,17.74355
GALAXY,0.2826667,18.03196
GALAXY,0.0874864,17.63088
GALAXY,0.09582623,17.25865
GALAXY,0.06805302,18.27581
GALAXY,0.08753705,17.63088
GALAXY,0.08447021,16.3369
GALAXY,0.1225969,17.32759
GALAXY,0.04628231,17.57074
QSO,0.1871196,18.4999
GALAXY,0.2825942,18.03196
GALAXY,0.04727709,17.12192
GALAXY,0.04146601,17.65548
GALAXY,0.05626563,17.2037
GALAXY,0.06593723,17.12168
GALAXY,0.06600515,17.12168
GALAXY,0.04574715,15.52736
GALAXY,0.09408476,16.82397
QSO,1.157924,
GALAXY,0.1176201,18.23174
GALAXY,0.08545465,17.23485
GALAXY,0.08557735,17.23485
GALAXY,0.09410395,16.82397
GALAXY,0.09370357,18.07203
GALAXY,0.04144953,17.65548
GALAXY,0.09370887,18.07203
GALAXY,0.1176354,18.23174
GALAXY,0.04725183,17.12192
GALAXY,0.04576403,15.52736
GALAXY,0.1887828,17.10423
GALAXY,0.188824,17.62011
GALAXY,0.1888192,17.62011
GALAXY,0.1887258,17.10423
GALAXY,0.1889112,17.64299
GALAXY,0.1221746,16.77342
QSO,1.0656,
GALAXY,0.09559516,17.58898
GALAXY,0.2140231,
GALAXY,0.1889187,17.64299
GALAXY,0.09574983,17.62225
GALAXY,0.1222206,17.45021
GALAXY,0.09555007,17.58898
QSO,0.4702402,19.89712
GALAXY,0.09412411,16.65647
GALAXY,0.09577672,17.62225
QSO,0.4702854,19.89712
GALAXY,0.09566563,16.78643
GALAXY,0.09569675,16.78643
GALAXY,0.122387,17.14653
GALAXY,0.02120519,17.30527
GALAXY,0.09423019,17.52171
GALAXY,0.04531889,16.96225
GALAXY,0.1272069,16.3395
GALAXY,0.1221693,16.77342
GALAXY,0.04530115,16.96225
GALAXY,0.1222465,17.45021
GALAXY,0.1816081,17.11421
GALAXY,0.1271551,16.3395
GALAXY,0.1225172,17.14653
GALAXY,0.1815758,17.11421
GALAXY,0.2140356,
GALAXY,0.09416375,17.52171
GALAXY,0.09408178,16.65647
GALAXY,0.09596023,17.07751
GALAXY,0.02123116,17.30527
GALAXY,0.09583122,17.07751
GALAXY,0.09412583,17.20645
GALAXY,0.09410038,17.20645
GALAXY,0.3020089,18.27616
GALAXY,0.0693344,17.55616
GALAXY,0.1961206,16.94619
GALAXY,0.2011801,17.63385
GALAXY,0.2011759,17.63385
GALAXY,0.1951666,17.53656
GALAXY,0.1953063,17.53656
GALAXY,0.02151983,15.36142
GALAXY,0.08463703,15.73981
GALAXY,0.09592089,15.8426
GALAXY,0.4067003,19.76447
GALAXY,0.3018043,18.27616
GALAXY,0.1765283,16.95385
GALAXY,0.08461809,17.49145
GALAXY,0.09589524,15.8426
GALAXY,0.4067205,19.76447
GALAXY,0.1959435,17.33811
GALAXY,0.1764013,16.27681
GALAXY,0.1793275,17.25633
GALAXY,0.1960584,16.94619
GALAXY,0.1227615,17.38766
GALAXY,0.06680077,16.48248
GALAXY,0.1764415,16.27681
GALAXY,0.06933434,17.55616
GALAXY,0.1924342,17.48804
GALAXY,0.06686294,16.48248
GALAXY,0.176532,16.95385
GALAXY,0.2133324,24.70041
GALAXY,0.1792589,17.25633
GALAXY,0.02147727,15.36142
GALAXY,0.1227236,17.38766
GALAXY,0.08460317,17.49145
GALAXY,0.1959835,17.33811
GALAXY,0.1924806,17.48804
GALAXY,0.0846162,15.73981
QSO,0.5525596,19.41865
QSO,0.288476,17.97849
QSO,0.2885048,17.97849
GALAXY,0.09624813,
GALAXY,0.06852921,17.18545
GALAXY,0.4840974,19.41865
GALAXY,0.03395104,16.97856
GALAXY,0.1097003,17.40583
GALAXY,0.09263612,16.3437
GALAXY,0.09487821,17.65529
GALAXY,0.04490076,17.03657
GALAXY,0.06844361,17.18545
GALAXY,0.09562361,16.64211
GALAXY,0.1226063,17.35153
GALAXY,0.1097687,17.40583
GALAXY,0.07781906,
GALAXY,0.1226742,17.35153
QSO,2.731302,18.59492
GALAXY,0.1737442,17.20273
GALAXY,0.03396715,16.97856
GALAXY,0.09620874,
GALAXY,0.09561214,16.64211
GALAXY,0.04478479,17.30113
GALAXY,0,16.29539
GALAXY,0.0695365,16.29539
GALAXY,0.1645294,17.1698
GALAXY,0.09262534,16.3437
GALAXY,0.1747583,17.22793
GALAXY,0.06681179,17.51275
GALAXY,0.16461,17.1698
GALAXY,0.1737623,17.20273
GALAXY,0.1226806,17.57921
GALAXY,0.04480134,17.30113
GALAXY,0.09490462,17.65529
GALAXY,0.04486069,17.03657
QSO,2.731648,18.59492
GALAXY,0.1226908,17.57921
GALAXY,0.06677249,17.51275
GALAXY,0.1747015,17.22793
QSO,1.214381,
GALAXY,0.1388483,17.69253
GALAXY,0.05618806,17.2037
GALAXY,0.1379456,16.85908
GALAXY,0.1388499,17.69253
GALAXY,0.4498096,18.92171
GALAXY,0.1380349,16.85908
QSO,0.4750332,
GALAXY,0.0942168,17.29288
GALAXY,0.1375598,17.53629
GALAXY,0.3418998,18.16175
GALAXY,0.0943219,17.1929
GALAXY,0.09419206,17.29288
GALAXY,0.0564772,17.67477
GALAXY,0.09436264,17.1929
GALAXY,0.4501037,18.92171
GALAXY,0.04727036,15.84108
GALAXY,0.08681981,
GALAXY,0.3419735,18.16175
GALAXY,0.05648548,17.67477
GALAXY,0.08681832,
GALAXY,0.1375457,17.53629
GALAXY,0.04723289,15.84108
GALAXY,0.1904114,17.63189
GALAXY,0.09502017,17.50846
GALAXY,0.09303447,16.79819
GALAXY,0.1742288,17.45734
GALAXY,0.06687512,15.84655
GALAXY,0.1958982,17.81275
GALAXY,0.1969385,17.29308
GALAXY,0.09541956,17.21529
GALAXY,0.09536736,17.51268
GALAXY,0.2125257,17.16154
GALAXY,0.1743736,17.45734
GALAXY,0.09456869,16.09196
GALAXY,0.06605378,16.00437
GALAXY,0.09501516,17.50846
GALAXY,0.1959679,17.81275
GALAXY,0.09531177,17.51268
GALAXY,0.09458235,16.09196
GALAXY,0.09303017,16.79819
GALAXY,0.05992277,17.13213
GALAXY,0.1904164,17.63189
GALAXY,0.06733828,14.6525
GALAXY,0.4027731,18.8729
GALAXY,0.1969343,17.29308
GALAXY,0.05990462,17.13213
GALAXY,0.0656463,17.27253
GALAXY,0.09541586,17.21529
GALAXY,0.2435239,17.43632
GALAXY,0.2125967,17.16154
GALAXY,0.4024853,18.8729
GALAXY,0.06734681,14.6525
GALAXY,0.06607493,16.00437
GALAXY,0.06566764,17.27253
GALAXY,0.06684808,15.84655
GALAXY,0.6676574,
GALAXY,0.2434362,17.43632
GALAXY,0.3111404,17.96836
GALAXY,0.3110858,17.96836
GALAXY,0.09424465,16.20198
GALAXY,0.1362129,17.17788
GALAXY,0.04716573,16.57698
GALAXY,0.0661617,16.98448
GALAXY,0.04723592,16.49484
GALAXY,0.04718106,16.57698
GALAXY,0.1396157,17.41757
GALAXY,0.04726475,16.49484
GALAXY,0.09384785,16.44523
GALAXY,0.1685575,17.0118
GALAXY,0.6012062,
GALAXY,0.05648488,17.65478
GALAXY,0.07536284,17.12418
GALAXY,0.135132,17.76034
GALAXY,0.06619529,16.98448
GALAXY,0.09419063,16.20198
GALAXY,0.1362553,17.17788
GALAXY,0.1389768,17.66436
GALAXY,0.05650467,17.65478
GALAXY,0.1368486,16.47648
GALAXY,0.136878,16.47648
GALAXY,0.1361056,17.10165
GALAXY,0.1685187,17.0118
