#Table1
class,z,dered_r
GALAXY,0.130267,17.56911
GALAXY,0.05665967,16.78459
GALAXY,0.04567251,17.31002
GALAXY,0.1302224,17.56911
GALAXY,0.1210181,16.02812
GALAXY,0.1321261,16.55571
GALAXY,0.1259264,17.29736
GALAXY,0.1206084,17.81239
GALAXY,0.130504,16.55913
GALAXY,0.09213265,17.68023
GALAXY,0.06934141,17.45963
GALAXY,0.2046449,17.10749
GALAXY,0.2900426,18.04369
GALAXY,0.06252577,16.09502
GALAXY,0.141718,17.35027
QSO,0.2713686,18.53674
GALAXY,0.1457377,16.93094
QSO,0.5175179,18.59505
QSO,2.377915,18.43981
QSO,0.2712803,18.53674
GALAXY,0.2899815,18.04369
QSO,0.5176755,18.59505
GALAXY,0.1417113,17.35027
QSO,0.7876208,
GALAXY,0.1449594,17.44174
GALAXY,0.06248942,16.09502
GALAXY,0.1457813,16.93094
GALAXY,0.2045784,17.10749
GALAXY,-0.008626973,
QSO,2.377714,18.43981
GALAXY,0.142703,16.70823
GALAXY,0.142683,16.70823
GALAXY,0.153699,16.91388
QSO,0.3674046,19.61605
QSO,0.367843,19.61605
GALAXY,0.3679494,18.80663
GALAXY,0.3692567,19.05623
GALAXY,0.06773794,17.44395
GALAXY,0.1448017,17.44174
GALAXY,0.07163119,15.87941
GALAXY,0.3680652,18.80663
GALAXY,0.1536002,16.91388
GALAXY,0.06770252,17.44395
GALAXY,0.3689286,19.05623
GALAXY,0.07158983,15.87941
GALAXY,0.335078,18.83066
GALAXY,0.3350124,18.83066
GALAXY,0.03074224,14.60725
GALAXY,0.05290708,16.00294
GALAXY,0.06240942,17.25271
GALAXY,0.05260282,16.9787
GALAXY,0.06251308,14.40929
GALAXY,0.02171789,16.34878
GALAXY,0.03073909,15.78321
GALAXY,0.06750636,17.08147
GALAXY,0.3661692,19.40839
GALAXY,0.05217639,16.21279
GALAXY,0.0522889,16.21279
GALAXY,0.03070351,14.60725
GALAXY,0.06226088,17.00472
GALAXY,0.06240187,17.25271
GALAXY,0.05255049,16.9787
GALAXY,0.05302386,16.00294
GALAXY,0.02174484,15.68986
GALAXY,0.05248393,16.43776
GALAXY,0.365933,19.40839
GALAXY,0.4410215,18.68525
GALAXY,0.03076891,15.78321
GALAXY,0.06250914,14.40929
GALAXY,0.05354775,17.74122
GALAXY,0.0524687,16.43776
