pl_name,discoverymethod,pl_rade,pl_bmasse
"Kepler-108 c","Transit",3.40000000,
"TOI-2459 b","Transit",2.93653367,
"WASP-89 b","Transit",11.65736000,1875.19700000
"Kepler-344 c","Transit",2.95000000,
"K2-214 b","Transit",2.43000000,
"K2-415 b","Transit",1.01500000,7.50000000
"Kepler-1813 b","Transit",,
"K2-212 b","Transit",2.39257704,
"Kepler-36 c","Transit",3.96200000,
"Kepler-328 c","Transit",5.40000000,39.40000000
"K2-107 b","Transit",,
"Kepler-1088 b","Transit",,
"HATS-13 b","Transit",13.58530800,172.58169000
"Kepler-1987 c","Transit",1.13000000,
"OGLE-2019-BLG-1470L AB c","Microlensing",,794.57101750
"Kepler-1918 b","Transit",2.57000000,
"Kepler-6 b","Transit",13.38000000,
"Kepler-1137 b","Transit",3.01000000,
"Kepler-1576 b","Transit",1.15000000,
"Kepler-130 d","Transit",1.37000000,
"Kepler-31 b","Transit",5.28000000,
"Kepler-27 b","Transit",4.94000000,
"Kepler-636 b","Transit",,
"Kepler-476 b","Transit",3.08000000,
"Kepler-229 d","Transit",3.86000000,
"Kepler-480 b","Transit",2.43000000,
"Kepler-198 d","Transit",,
"Kepler-1480 b","Transit",,
"HIP 94235 b","Transit",3.00000000,379.00000000
"Kepler-903 c","Transit",,
"Kepler-941 b","Transit",,
"K2-117 c","Transit",1.75000000,
"KOI-1833 d","Transit",,
"Kepler-58 c","Transit",2.93000000,
"TOI-4427 b","Transit",13.39761617,
"Kepler-763 d","Transit",1.67000000,
"WASP-71 b","Transit",,
"Kepler-1125 b","Transit",,
"Kepler-286 e","Transit",1.79000000,
"Kepler-929 b","Transit",1.12000000,
"WASP-105 b","Transit",,
"Kepler-654 b","Transit",,
"WASP-104 b","Transit",,
"Kepler-916 b","Transit",1.71000000,
"HD 219134 f","Radial Velocity",,8.89924000
"Kepler-197 c","Transit",,
"Kepler-406 c","Transit",0.74000000,
"Kepler-1691 b","Transit",1.74000000,
"K2-278 b","Transit",3.63000000,
"bet Pic b","Imaging",,3727.80938570
"Kepler-1724 b","Transit",,
"Kepler-83 b","Transit",2.37000000,
"Kepler-104 b","Transit",2.36000000,
"Kepler-1087 b","Transit",0.82000000,
"Kepler-398 c","Transit",0.99000000,
"Kepler-62 e","Transit",1.87300000,
"Kepler-1361 b","Transit",,
"Kepler-224 c","Transit",3.15000000,
"WASP-58 b","Transit",,
"TOI-4153 b","Transit",16.66323365,
"K2-188 c","Transit",2.90000000,
"HD 7449 b","Radial Velocity",,352.77600000
"K2-28 b","Transit",1.52000000,
"Kepler-416 b","Transit Timing Variations",2.71000000,
"Kepler-32 e","Transit",1.32000000,
"Kepler-438 b","Transit",,
"Kepler-691 b","Transit",2.14000000,
"Kepler-374 d","Transit",,
"Kepler-337 b","Transit",,
"Kepler-134 c","Transit",1.26000000,
"Kepler-1221 b","Transit",1.61000000,
"Kepler-1132 b","Transit",2.36100000,
"Kepler-304 e","Transit",1.43000000,
"Kepler-68 c","Transit",0.92000000,
"WASP-1 b","Transit",,
"Kepler-114 d","Transit",,
"HD 136352 c","Radial Velocity",2.91600000,11.24000000
"Kepler-1264 b","Transit",1.25000000,
"Kepler-1049 b","Transit",,
"Kepler-359 b","Transit",3.53000000,
"Kepler-393 b","Transit",1.51000000,
"Kepler-428 b","Transit",11.06100000,
"Kepler-913 b","Transit",,
"Kepler-1061 b","Transit",,
"TOI-4588 b","Transit",6.10000000,
"Kepler-388 c","Transit",,
"Kepler-777 b","Transit",1.47000000,
"Kepler-1038 b","Transit",,
"WASP-4 b","Transit",,
"WASP-8 b","Transit",,
"HD 11506 c","Radial Velocity",,114.41000000
"Kepler-249 c","Transit",1.27000000,
"Kepler-251 b","Transit",1.49000000,
"K2-60 b","Transit",,
"Kepler-1923 b","Transit",1.95958179,
"HATS-29 b","Transit",,
"Kepler-1514 b","Transit",22.02000000,
"Kepler-242 b","Transit",2.20000000,
"HD 164922 b","Radial Velocity",,114.41400000
"Kepler-836 b","Transit",2.73000000,
"K2-229 c","Transit",2.16480482,
"Kepler-48 c","Transit",2.71000000,14.61000000
"Kepler-521 b","Transit",3.18000000,
"CWISEP J193518.59-154620.3 b","Imaging",,4926.34030850
"Kepler-77 b","Transit",,
"Kepler-54 c","Transit",1.30000000,
"Kepler-384 c","Transit",1.33000000,
"Kepler-471 b","Transit",10.53000000,
"HD 152843 c","Transit",4.18440826,
"Kepler-1328 b","Transit",,
"Kepler-383 b","Transit",1.49000000,
"Kepler-69 c","Transit",1.79000000,
"Kepler-726 b","Transit",3.26000000,
"Kepler-58 d","Transit",,245.34300000
"Kepler-1461 b","Transit",2.03000000,
"Kepler-149 c","Transit",1.77000000,
"Kepler-467 b","Transit",2.29000000,
"Kepler-1065 c","Transit",,
"Kepler-1514 b","Transit",11.17000000,
"HAT-P-42 b","Transit",,
"K2-83 c","Transit",1.70000000,
"Kepler-1605 b","Transit",,
"HD 87883 b","Radial Velocity",,728.46270884
"Kepler-1471 b","Transit",1.41000000,
"Kepler-1086 c","Transit",,
"Kepler-1651 b","Transit",1.76000000,
"TOI-1789 b","Transit",,
"Kepler-187 c","Transit",2.58000000,
"K2-166 b","Transit",1.82322896,
"Kepler-559 b","Transit",4.17000000,
"Kepler-1797 b","Transit",2.98000000,
"Kepler-909 b","Transit",1.66500000,
"HD 212301 b","Radial Velocity",,162.09330000
"Kepler-214 b","Transit",1.92000000,
"Kepler-981 b","Transit",,
"GQ Lup b","Imaging",33.60000000,6356.00000000
"Kepler-688 b","Transit",7.70000000,
"KMT-2019-BLG-1339L b","Microlensing",,397.00000000
"HD 219134 b","Radial Velocity",,4.13176929
"Kepler-244 d","Transit",2.40000000,
"Kepler-1263 b","Transit",,
